timestamp,state,attacks,duration_sec
2026-07-02T10:12:31.076041,double_attack,"['slow_rate', 'http_flood']",91
2026-07-02T10:14:02.104907,burst_attack,"['slow_rate', 'attack_other', 'syn_flood']",65
2026-07-02T10:15:07.132515,single_attack,['slow_rate'],97
2026-07-02T10:16:44.225617,normal_only,[],76
2026-07-02T10:18:00.230920,normal_only,[],33
2026-07-02T10:18:33.328862,normal_only,[],30
2026-07-02T10:19:03.348956,normal_only,[],79
2026-07-02T10:20:22.371883,normal_only,[],98
2026-07-02T10:22:00.421539,double_attack,"['udp_flood', 'syn_flood']",98
2026-07-02T10:23:38.435911,double_attack,"['slow_rate', 'attack_other']",88
2026-07-02T10:25:06.494689,double_attack,"['http_flood', 'syn_flood']",107
2026-07-02T10:26:53.545663,double_attack,"['http_flood', 'syn_flood']",68
2026-07-02T10:28:01.554728,single_attack,['udp_flood'],48
2026-07-02T10:28:49.628171,double_attack,"['http_flood', 'attack_other']",47
2026-07-02T10:29:36.722077,normal_only,[],56
2026-07-02T10:30:32.774125,normal_only,[],115
2026-07-02T10:32:27.862153,single_attack,['http_flood'],30
2026-07-02T10:32:57.914227,burst_attack,"['syn_flood', 'udp_flood', 'slow_rate']",83
2026-07-02T10:34:21.014827,normal_only,[],53
2026-07-02T10:35:14.020875,normal_only,[],59
2026-07-02T10:36:13.044862,normal_only,[],92
2026-07-02T10:37:45.051639,single_attack,['attack_other'],43
2026-07-02T10:38:28.118077,single_attack,['slow_rate'],83
2026-07-02T10:39:51.191030,burst_attack,"['slow_rate', 'http_flood', 'attack_other']",78
2026-07-02T10:41:09.285194,normal_only,[],74
2026-07-02T10:42:23.317598,normal_only,[],112
2026-07-02T10:44:15.422026,normal_only,[],60
2026-07-02T10:45:15.461871,burst_attack,"['http_flood', 'attack_other', 'slow_rate', 'syn_flood']",78
2026-07-02T10:46:33.598421,normal_only,[],61
2026-07-02T10:47:34.679234,normal_only,[],61
2026-07-02T10:48:35.747022,single_attack,['http_flood'],44
2026-07-02T10:49:19.775849,normal_only,[],93
2026-07-02T10:50:52.836312,normal_only,[],65
2026-07-02T10:51:57.924838,double_attack,"['syn_flood', 'http_flood']",104
2026-07-02T10:53:41.963700,normal_only,[],86
2026-07-02T10:55:08.043730,normal_only,[],65
2026-07-02T10:56:13.046438,normal_only,[],83
2026-07-02T10:57:36.053396,normal_only,[],87
2026-07-02T10:59:03.123195,normal_only,[],87
2026-07-02T11:00:30.193906,normal_only,[],93
2026-07-02T11:02:03.225000,single_attack,['attack_other'],39
2026-07-02T11:02:42.254622,normal_only,[],113
2026-07-02T11:04:35.263107,normal_only,[],115
2026-07-02T11:06:30.316953,burst_attack,"['slow_rate', 'syn_flood', 'udp_flood']",67
2026-07-02T11:07:37.404824,double_attack,"['slow_rate', 'http_flood']",52
2026-07-02T11:08:29.444380,single_attack,['attack_other'],97
2026-07-02T11:10:06.528199,normal_only,[],120
2026-07-02T11:12:06.575786,double_attack,"['attack_other', 'http_flood']",103
2026-07-02T11:13:49.620753,single_attack,['syn_flood'],31
2026-07-02T11:14:20.621049,normal_only,[],41
2026-07-02T11:15:01.708005,single_attack,['syn_flood'],90
2026-07-02T11:16:31.756422,single_attack,['slow_rate'],43
2026-07-02T11:18:24.301523,normal_only,[],88
2026-07-02T11:19:52.315310,normal_only,[],71
2026-07-02T11:21:03.328838,single_attack,['http_flood'],69
2026-07-02T11:28:33.776546,normal_only,[],99
2026-07-02T11:38:46.391103,normal_only,[],82
2026-07-02T11:48:54.279698,double_attack,"['syn_flood', 'udp_flood']",111
2026-07-02T11:59:04.104149,normal_only,[],67
2026-07-02T12:09:16.964349,normal_only,[],100
2026-07-02T12:11:56.524269,normal_only,[],74
2026-07-02T12:13:10.572685,normal_only,[],47
2026-07-02T12:13:57.665365,single_attack,['udp_flood'],51
2026-07-02T12:14:48.756890,normal_only,[],97
2026-07-02T12:16:25.853092,normal_only,[],50
2026-07-02T12:17:15.932239,normal_only,[],59
2026-07-02T12:18:14.940105,normal_only,[],84
2026-07-02T12:19:39.003061,normal_only,[],98
2026-07-02T12:21:17.095795,single_attack,['http_flood'],93
2026-07-02T12:22:50.166951,normal_only,[],105
2026-07-02T12:24:35.185785,burst_attack,"['attack_other', 'slow_rate', 'http_flood', 'udp_flood']",65
2026-07-02T12:25:40.293003,normal_only,[],51
2026-07-02T12:26:31.342832,normal_only,[],96
2026-07-02T12:29:39.017817,single_attack,['http_flood'],44
2026-07-02T12:30:23.083957,normal_only,[],54
2026-07-02T12:31:17.129961,normal_only,[],115
2026-07-02T12:36:15.369824,normal_only,[],46
2026-07-02T12:37:01.405909,double_attack,"['http_flood', 'slow_rate']",42
2026-07-02T12:38:06.207208,normal_only,[],95
2026-07-02T12:39:42.735221,double_attack,"['http_flood', 'udp_flood']",79
2026-07-02T12:41:15.510258,normal_only,[],87
2026-07-02T12:46:15.394005,normal_only,[],55
2026-07-02T12:49:45.401954,single_attack,['syn_flood'],77
2026-07-02T12:51:15.380484,normal_only,[],32
2026-07-02T12:51:47.384303,normal_only,[],108
2026-07-02T12:53:35.386547,single_attack,['slow_rate'],51
2026-07-02T12:54:26.404433,normal_only,[],60
2026-07-02T12:55:26.416161,normal_only,[],114
2026-07-02T12:57:20.500835,single_attack,['slow_rate'],66
2026-07-02T12:58:26.574304,normal_only,[],44
2026-07-02T12:59:10.655745,single_attack,['http_flood'],33
2026-07-02T12:59:43.714635,normal_only,[],45
2026-07-02T13:00:28.812736,single_attack,['slow_rate'],100
2026-07-02T13:10:10.531469,normal_only,[],103
2026-07-02T13:20:16.070349,normal_only,[],89
2026-07-02T13:36:21.590828,normal_only,[],49
2026-07-02T13:40:35.633011,normal_only,[],48
2026-07-02T13:56:22.697318,normal_only,[],73
2026-07-02T14:01:01.718536,normal_only,[],109
2026-07-02T14:16:48.528648,normal_only,[],103
2026-07-02T14:21:22.543975,normal_only,[],111
2026-07-02T14:27:31.354051,single_attack,['attack_other'],61
2026-07-02T14:31:35.088797,normal_only,[],74
2026-07-02T14:47:22.151282,double_attack,"['syn_flood', 'slow_rate']",47
2026-07-02T14:48:09.215054,normal_only,[],85
2026-07-02T14:51:51.310331,normal_only,[],54
2026-07-02T15:05:42.402326,normal_only,[],89
2026-07-02T15:12:08.483002,normal_only,[],67
2026-07-02T15:27:54.351736,normal_only,[],68
2026-07-02T15:32:29.932831,normal_only,[],41
2026-07-02T15:33:11.038689,normal_only,[],105
2026-07-02T15:42:36.014528,normal_only,[],111
2026-07-02T15:52:46.473987,normal_only,[],101
2026-07-02T16:02:50.133495,normal_only,[],95
2026-07-02T16:12:55.951571,normal_only,[],43
2026-07-02T16:13:38.979570,normal_only,[],66
2026-07-02T16:23:07.902528,normal_only,[],83
2026-07-02T16:28:54.369588,normal_only,[],33
2026-07-02T16:29:27.409591,double_attack,"['http_flood', 'udp_flood']",49
2026-07-02T16:33:18.297695,normal_only,[],51
2026-07-02T16:34:09.367826,normal_only,[],82
2026-07-02T16:43:29.356221,normal_only,[],111
2026-07-02T16:53:33.907018,normal_only,[],116
2026-07-02T17:09:20.675413,single_attack,['udp_flood'],92
2026-07-02T17:14:06.767729,normal_only,[],114
2026-07-02T17:24:15.580934,single_attack,['http_flood'],74
2026-07-02T17:25:29.641742,normal_only,[],51
2026-07-02T17:26:20.732076,normal_only,[],78
2026-07-02T17:29:54.333660,double_attack,"['udp_flood', 'attack_other']",113
2026-07-02T17:34:18.942154,normal_only,[],60
2026-07-02T17:50:05.985570,normal_only,[],109
2026-07-02T17:54:44.088553,normal_only,[],88
